"_type","comment","data_type","language","product","reviewer","reviewer_review_count","time","title","vote"
"dict","HP Sucks!!!!! Never again!!!! Wish I had seen all these reviews before purchasing my hp spectre x360. It's going on a month and still no laptop! There has been a delay they told me, after assuring me this wouldn't happen. My online classes start on Nov 26th and I have no laptop to do the work. I am waiting for this laptop but at this point, I'm afraid it may not even work. HP has just lost a few customers for good.","review","english","HP","DlG","1","2018-11-17T23:01:21.000+00:00","HP Sucks!!!!","1"
"dict","NOT gonna believe this.... HP has absolutely ridiculous products and customer service.   Please think twice before you spend big.  I own two HP laptops so far, and my first one had problems with a crack (which was my fault and not to be blamed to HP). Problem really happened when I contacted HP for the repair and they told me to put my laptop in the box they sent me thru mailing (DO NOT TRUST EM WITH UR LAPTOP LIKE THAT).   The head of the head supervisor, called me a few days later saying I will have product seems like water damaged product and therefore they cannot fix. WHICH WAS FINE. So I just told em to return my laptop, so I can get my local repairman to do the job.   And what do I know???? I receive my laptop back to a completely garbage, broken down state to the point, now I just had to trash the laptop. It seems like they opened some parts for water damage status, and didn't even bother reassemble up to the state it was sent in to them. Just bunch of broken parts of laptop, a wire coming out of laptop; the state my laptop was in was unbelievable. It turned from a laptop, that needs a quick fix to something I can't even recognize what happened to it. (TOTALLY BROKEN)   What's more funny is that, it is clearly not dropped or anything (from shipping); rather quite obvious it was torn apart and broken by the inspector, but staffs keep coming up with different story staff by staff saying anything from (we didnt do that to something like ""we opened it but the water damage was there so we cannot help you"") and in the end, THEY DIDNT EVEN HELP ME WITH MY SITUATION. They were just like ""Are you done? Can you kindly ff off"" attitude from both supervisor and other lower staffs. I had to explain my situation to Costco and they felt so bad for my experience, they just refunded my product without spending 5 min explaining. No help from HP whatsoever.  AND NOW I somehow had another HP laptop, which had me replacing my THREE 1TB internal Hard disks because the laptop keeps breaking (eating up) my HDD.   Later, I found out that the fan overheating, frequent breakdown of hard disk is very common problem within HP laptops and people have had experience of replacing HDD every 2 weeks or so before they all gave up in the end.. I called HP and they are saying I habe to pay for the service that they poorly built in the first place?? I really don't even expect a refund or free repair, but should really have put me with free check-in or troubleshooting for the structural failure issue...  Is HP company a joke? Not professional in any aspect of this company.   I really appreciate those who took time to read my review and hope you really really think twice before buying ANY of HP product.   Thank you.","review","english","HP","Jay","1","2018-11-18T02:48:45.000+00:00","NOT gonna believe this....","1"
"dict","HP really doesn't do anything right. Their products are way overpriced for the low quality they have, and instead of having a proper customer service, they are even worse than the product they sell! Stay away!","review","english","HP","Chris Mulligan","9","2018-11-17T15:39:26.000+00:00","Terrible customer service and products!","2"
"dict","Even as the last option HP proves they're not worth it.  HP customer service is by far the worst service I have experienced. I bought a gaming laptop (pavilion gtx1050 i5 intel core), and the device stored working a week from day of delivery. I rung hp to get assistance, no one could help cause systems were down so they sid they'd call me back. 24 hrs later I rung and they offer to fix my device of which i refused cause it'd only been a week so I did I wasn't a refund. I was passed on from post-sales team to tech team well over 7 times and had to explain my story each time I spoke to an apparent assistant. They finally said they'd call me back. Another 24 hours later, I called them and I was transferred through to a guy who worked for some company contacted by hp to handle calls if there's a high number of call... Hey said he'll email then and they will call me back and again no call for 48 hours so guess what... I rung and only to be told that I had been put through to the wrong section. I purchased the laptop for business purposes but I was top that the laptop I got was not under my business account so the team that was to deal with this was just the normal consumer products department so I had to explain again.    They took all the details down and said I should give them 72 hours to check what they can do of which I re-emphasised I just want my money back. They did not call back but rather they emailed with info that the laptop woild be collected and I'd receive an email from the courier (DPD in this case). As nother email pops through saying the funds will be back in my account within 8 days (26th Oct 18). On the 30th the laptop got collected and delivered by the 31st (tracked and signed).  I check my account and nothing has been sent back to my account. I email them on the (7th Nov 18) and they reply saying my refund is still being processed. Today is the 13th Nov 18, almost a week later still nothing. I called only to be told ""We are sorry for the delay, the accounts team had some sort of issue and they only approved your refund yesterday so your funds will be with you by the end of the week or so...""  2018... Like seriously.  Keep in mind that this is the 2nd HP laptop that had just stored working for no reason. It simply ran out of power, i plugged it in and turned it on and saw a repair screen... then an option to restart the device or select another action (tried all options and none worked even when on the phone with hp).  The first laptop just didn't turn on one day and that was it and what was annoying is that it'd only been 1 year 3 days from day of purchase.   After all this, all one gets is Sorry without any compensation at all.  I really detest hp laptops and I think I'll just move on to a different windows laptop manufacturer (already have an iMac).  I am glad I hadn't downloaded any of my music software otherwise they'd have tried pinning it on that I'm sure.  Such terrible customer service I'd highly recommend against dealing with hp if one really has a choice. My mum's laptop has been for repair 3 times in 1 year (HP). My niece's laptop harddrive just stopped working and all you could see on the screen were multiple colours (hp)...  like seriously 👀","review","english","HP","Jerry Jaricha","3","2018-11-14T19:20:14.000+00:00","Even as the last option HP proves…","1"
"dict","What ever you do stay well clear of buying any HP products!! I bought the HP envy x360 11 months ago and the quality issues I have had with it have been unbelievable. I paid over £1000 for this laptop and I expect a quality product for the price paid. Based on reviews I have read online everyone seems to be dealing with the same quality issues. My laptop has been returned as the screen just broke off and as I opened it some more the screen shattered. Avoid HP at all costs how this company is trading is unbelievable and I will be going out my way to make people aware of this diar company!!","review","english","HP","tom","8","2018-11-13T11:29:57.000+00:00","AVOID!! AVOID!! AVOID!!","1"
"dict","HP laptops are very overpriced for the quality and speccs they have. Stay away from this brand as there are cheaper alternatives on the market, with much better speccs.","review","english","HP","Daniel Laurens","1","2018-11-12T20:23:58.000+00:00","Overpriced for the quality","2"
"dict","I have bought a new hp laptop Pavilion series.. First week I had a problem with the touch pad and I sent it to the service center after a month coz I couldn't do it before. The laptop has been with hp for 3 complete months! They troubleshooted the laptop many times with the same solutions that didnt work. Im never buying hp again!!","review","english","HP","Abdullah Al-Amoodi","1","2018-11-12T12:28:40.000+00:00","I have bought a new hp laptop Pavilion…","1"
"dict","for me hp pc some times are alright :/ i dont understant what u mean :P","review","english","HP","Dana Fowler","1","2018-11-09T16:52:37.000+00:00","for me hp pc some times are alright :/…","3"
"dict","I had a very bad experience  with Hp. Never buy hp laptops. Wattage  of money.","review","english","HP","MANISH MEHRA","1","2018-11-08T06:56:09.000+00:00","I hwd a very bad experience  with Hp","1"
"dict","Sadly awarded this for underhand practice on ink cartridges on printers. Owned an X476 Officejet, (£350 printer), always struggled to get compatibles to work, but through download patches managed to use over 3 years. Suddenly this summer update over writes the software and ONLY genuine cartridges will work. Bought a new brother printer, with all compatible cartridges which we have checked do work for less than a set of genuine HP ink cartridges for the old OfficeJet. Sorry to say don't buy HP because of the running costs","review","english","HP","Gold Samsung user","3","2018-11-08T05:28:13.000+00:00","Printers ONLY accepting Genuine HP cartridges at exorbitant prices","1"
"dict","I own an HP Envy x360 that i purchased about a year ago and is now out of warranty. I spent 2 hours on the phone with Microsoft to figure out why my front camera wasnt working anymore after just using it a couple days ago. SOOOOO microsoft finally figures out that my driver was removed from my computer BY HP....... and the only way to reinstall this camera driver BACK onto my computer is by paying 60$ after already paying 1500$ for the laptop WHICH HAD A WORKING FRONT CAMERA BEFORE HP REMOVED IT.... huge scam by a company that should take responsibility for faulty drivers. Absolutely ridiculous and a waste of money. DONT BUY HP","review","english","HP","Cole Teshak","1","2018-11-03T21:06:45.000+00:00","I own an HP Envy x360 that i purchased…","1"
"dict","HP printers are the absolute WORST!  I HATE my printer.  They have an automatic ink renewal program which sounds awesome on paper, but it costs more money in the long run.  They do these stupid little underhanded things that force you to print more pages, so they can bill you when you go over your limit.  Normally when you accidentally hit the print button, a printer will allow you to hit the 'cancel' button to stop an unnecessary print job.  No, not HP.  They make sure to screw you so they get their ink quota in.  I was recently away from home and accidentally sent a print job to my printer instead of the remote printer I was using. - It obviously didn't go to my printer since I was not in range,  so I sent the print job to the printer I was connected to at the other location and was on my merry way.  As soon as I got home and booted up my computer, it connected to my printer and started printing.  I hit the cancel button half way through the 20 page document.  It cancelled the current print job, then immediately fired up the queue again to print the whole 20 pages over again. I hit cancel again, then there goes the print queue again. I HIT CANCEL 10 FREAKING TIMES!!!!!! Every single time I hit cancel, it immediately fired up the print queue again. I was finally forced to give up and let the printer print the whole 20 pages I did not need it to print. So in the end 30 pages of paper were wasted and 30 pages worth of ink that I am getting billed for wasted.  I HATE YOU HP!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","review","english","HP","Taylor Yehle","1","2018-11-01T16:45:52.000+00:00","HP printers are the absolute WORST","1"
"dict","HP is THE worst company I've had the displeasure of doing business with in a long time. Their customer service is a joke next to almost non-existent. Their printers are crap, and complicated to setup. I wouldn't recommend buying their products.","review","english","HP","Mareyoko Butler","1","2018-10-31T19:45:29.000+00:00","HP is THE worst company I've had the…","1"
"dict","Awful services. Printers are unreliable no matter how ""new"" your model is. I own a HP laptop and printer and even though theyre even the same brand, they will not connect. i'm an A level student with loads of work due in, but everytime i send something to my printer from my laptop, it only prints probably 2/10 times, sometimes i have to wait days before it decides to buy. Laptops constantly needs updates which takes HOURS and the printing quality is awful, and i own a new model. Dont waste your money or time on this brand.","review","english","HP","Sophie","3","2018-10-28T16:29:53.000+00:00","Don't waste your time on this unreliable brand.","1"
"dict","Sent me a faulty computer. I need a computer for my business. Explained I can't be without it. They have suggested picking up their faulty machine in FOUR DAYS, they will then perhaps get around to sending a replacement in a week or so. How can that be acceptable??? The most pathetic, incompetent and poor service from a big company. DO NOT BUY FROM HP if you actually need something to work when you get it. NO STARS and they have lost a potential 3 grand deal from me so THERE IS A CONSEQUENCE for poor service!!!!!","review","english","HP","RICHARD","1","2018-10-26T12:18:37.000+00:00","DO NOT BUY FROM HP if you actually need something to work when you get it","1"
"dict","Absolute joke. Sold me a faulty device and failed to collect it on two arranged dates. nobody there respects customers.so far their support made so many crucial mistakes that i am speechless. i ve lost my discount, day of work, day of school and a month of nerves, 5 different people sends you to other people  and do anything to just shut you up and pretend to help. Avoid at all cost and do not hesitate to pay even a bit more to get your stuff from somewhere else.","review","english","HP","Marek Konowrocki","4","2018-10-25T18:17:12.000+00:00","Absolute joke","1"
"dict","Just give you lip service.... Orders delayed, then when you ask to be delivered after a certain date, they assure they will, and then the item just ‘turns up’ do not believe a word they say!","review","english","HP","Juliea","9","2018-10-24T13:32:42.000+00:00","Just give you lip service....","1"
"dict","They keep delaying orders. They will not ship or deliver your product on the ""estimated date."" Their tracking websites are also not updated accordingly. Their sales rep can  not do anything besides sell you items, once your ordered is delayed there is noone you can hold accountable. DONT MAKE THE MISTAKE OF ORDERING FROM HP.","review","english","HP","Bethlehem Mulualem","1","2018-10-23T23:43:18.000+00:00","They keep delaying orders","1"
"dict","products show online but no stock.. money received on the sport, refund 3 weeks...worst experience compact to dell","review","english","HP","NAM SING YAP","1","2018-10-23T09:32:46.000+00:00","products show online but no stock.","1"
"dict","I purchased a Pavilion x360 about 4 weeks ago. Today, the sound stopped working on it. I have updated the driver and done the things I know to do with no results - so I went to the support page, logged in and selected the ""Chat"" option because it says it is fastest. When the chat window opened, I was 103 in the queue.  In a practical sense, that is the same as not offering technical support. I have been buying HP products for 10 years or more. This is definitely motivation to try another brand!","review","english","HP","Mike Worley","1","2018-10-22T23:37:47.000+00:00","Not Really Offering Technical Support","1"
"dict","I bought a brand new laptop with a faulty screen.  The after sales department are not contactable by phone and take 5 to 6 days to reply to any email - they answer only the parts they wish to too!  They arranged a collection but didn't send the returns info with the courier, they rearranged another collection and did the same thing.  So, a month later I have written over  emails, made approx the same amount of phone calls, stayed in 2 whole days for couriers and I still have a £750 brand new laptop with a faulty screen sat in my house and no response to my last few emails.  I have tweeted them and contacted them via facebook.  It's beyond shocking.  I asked for their official complaints procedure three time and they still haven't given me it!  I will NEVER buy from HP EVER again - looking at other's reviews it seems nobody else will either!","review","english","HP","Bluebugw","9","2018-10-22T14:36:09.000+00:00","Worse Customer Service I have EVER experienced in my life","1"
"dict","Slow dispatch so cancelled order.  Was pleased to have a company discount on a laptop so ordered and arranged delivery to one address. But then dispatch delayed so needed to cancel order as would be nobody at address to collect the laptop.","review","english","HP","Rachel","5","2018-10-22T10:35:28.000+00:00","Slow dispatch so cancelled order","2"
"dict","My wife has spent weeks, day after day, hour after hour trying to get HP to fix or replace or provide credit for a custom built computer we had to wait months for, which is still under warranty. Customer service makes it as difficult as possible, and then, after wasting your time trouble shooting, when they finally do have you send it in, they return it immediately, having done nothing to it, while marking it as ""Done"" but it still has exactly the same issues. The only thing ""DONE"" is our company doing business with HP!... which f.y.i. should stand for HELP PLEASE!!!!! Those are the words you'll be repeating if you buy one of their lousy computers.","review","english","HP","Paul Martin","1","2018-10-21T18:35:07.000+00:00","My wife has spent weeks","1"
"dict","Dont buy nothing from these frauds, cheaply made products that rarely make it past the waranty, abysmal customer service, and by abysmal i mean expect one automatically generated response and then radio silence. These people dont care about their customers, just what we're lining their pockets with. will never buy a HP product again.","review","english","HP","Lee Bryan","1","2018-10-21T15:33:42.000+00:00","JUST NO","1"
"dict","I have an HP OMEN 15: worst latop from the worst manufacturer with the worst customer service  I've used it for about 8 months with regular static shocks which suddenly stop the laptop (and kill all your tasks). It has multiple conception defects: - Case is not properly grounded. The issue could be about the charger.. - Very poor fans (noisy as hell) &amp; cooling system.  - Original HDD takes 25-30 seconds to boot  About HP customer service: - 3 dead motherboards, most likely because of some overvoltage - about 2 months of discussion and unavailability of the laptop - they're stuborn as can be, unable to get out of their stupid process which requires to send the computer to their repair center for 10 days through UPS even after 3 repairs in a row - shipping service (UPS, Fedex) also make you undergo their universe of constraints (time slot: ""during the day"", so convenient when you have a job). Their delivery mans usually don't climb the stairs et leave a calling card, so that you have to find away to wait for them at home for 3 days in a row - compensation: at best, 1 OMEN mouse, 3 months warranty extension  Hence, I've been trying to get a refund from the reseller","review","english","HP","Jibé","1","2018-10-21T15:34:48.000+00:00","Worst laptops from the worst company with the worst customer service","1"
"dict","Hp laptops and tech support suck!!!","review","english","HP","Lex Charmaine","1","2018-10-21T10:50:07.000+00:00","Go laptops and tech support suck!!!","1"
"dict","Their laptops and printers are the absolute worst.","review","english","HP","Filadelfijus","2","2018-10-20T12:09:56.000+00:00","Their laptops and printers are the…","1"
"dict","@HPIndia not genuine to customer  Very much discouraged from HP online store in my recent order and No one taking ownership after the order.  1.while Booking the order wireless mouse also include in package but its not delivered  2.The delivered carry case i got different model   After multiple escalation still its not accepted from Hpestore ..  strongly recommending  don't buy any HP  product www .hpshopping . in","review","english","HP","Mana mahilan","2","2018-10-20T12:10:26.000+00:00","@HPIndia not genuine to customer","1"
"dict","On July 25, 2017, I contact HP Support service concerning an Envy I purchase and just taking the computer from the packing content I could not get the computer to connect to my Home WIFI. I spent the day requesting for a refund and to return the Envy computer system. I contact them on FB as well as Twitter and no one returned my request. I should have pursued the refund policy and return the product to them as reading all the negative comments concerning their products and customer service. However, after numerous phone calls, I finally reach a support member who helps me connect the system to my WIFI. But the problem now I have a warranty on the computer which is still into effect as of July 4th of 2020. During the conversation with the HP Support team, I specifically told her my Warranty Agreement was still activated and she repeated the policy verbatim. I gave her the Case number twice and twice she ((Preikana) stated she could not retrieve the information! But within the same sentence, she stated she retrieve the information and proceed to give me instructions on how I should return the computer for repairs. First issue the Hard Drive and Second Issue reinstalling the operating system. Then after she explained the procedure thoroughly then her next statement was the option to have a technician sent to my home for $50. The second option was would take 3 - 4 for the completion of the repairs instead of two weeks process as option number 1! Which I was in favor of doing so and paying the $50 fee. But get this, after a long pause and waiting for her to take my credit card she returns to the phone stating I do not have a warranty in place and option 2 is not applicable for my case. What an idiot I stated to myself, this representative shows how HP needs to cease operation. First of all, your representative has commented to me I do have a WARRANTY(CARE PACKAGE EFFECTIVE UNTIL 4TH OF JULY 2020)  and now your representative is stating because I do not have an active warranty I cannot activate Option 2 for the home repair utilizing the technician to come to my home. What type of practice is HP  operating? A customer offers revenue for services and your Support Representative refuses the customer for lack of customer service skills. Please someone with consumer affair reads these reviews and help us close down this operation and all individuals requesting refund be given a full refund for products not working and or still under warranty. I am utilizing all media to voice my reviews about HP and Support representation. I would have given a negative rating if I could have done so! In summary - NEVER - NEVER BUY HP  PRODUCTS AGAIN!","review","english","HP","Grace Deen","3","2018-10-18T08:05:19.000+00:00","Warranty Effective until 4th July 2020!","1"
"dict","I have bought this Hp laptop a month ago, It has accidentally broken, so sensitive the screen is,  When I contacted service center for the repair, when i took the laptop to the service center, The center took a week to send the quotation, which when accepted , it was 2 weeks ago, still now, no update on the product or when the repair will be done.   Dear HP,      We have bought this laptop to use, not to keep it in your service center for ages, If you do not have the stock of the spares or cannot tell how much time it will require to repair, why on earth are you still in business and making our life miserable.  What's the use of buying a laptop if that's not of any use , and still paying my EMIs for the laptop. This is completely disastrously bad.   I sincerely recommend others to be aware of the worst servicing that the company have and don't  spend your hard earned money in this risky purchases.","review","english","HP","Kotesh Javvaji","1","2018-10-18T05:50:08.000+00:00","Worst HP Customer Service","1"
"dict","I contacted hp to add accidental coverage to my warranty and I was told I could purchase it but my transactions were declined multiple times. This went on for over a week and then I was finally told by a customer service representative that I was not able to purchase an extended warranty but was instead needing to repair the computer for the same cost just replace it. It is the worst customer service experience I have had in my life period. Don’t plan to purchase from them again.","review","english","HP","Ashley","1","2018-10-12T03:18:53.000+00:00","I contacted hp to add accidental…","1"
"dict","Going round in circles for hours 3 days in a row to troubleshoot a printer I've already done this once! Told we have to test it again and get another reference even though the printer is clearly faulty- DOA. AVOID HP PRINTERS!","review","english","HP","shotgun2010","2","2018-10-11T08:42:48.000+00:00","Going round in circles for hours 3 days…","1"
"dict","Please before buying any hp product, just go to their facebook page and check the millions of bad comments they are getting! I wish I did this before I bought my laptop! It is a total waste of money.. and their customer service, oh GOD! I feel extremely frustrated","review","english","HP","Dounia Farhat","2","2018-10-10T21:46:31.000+00:00","Horrible products and the worse customer service ever!","1"
"dict","The hard drive failed on my HP Notebook 17 that is less than 2 years old. I had the HP Care service package. My experience with customer service has been EXTREMELY disappointing -- the reps set expectations that 1) they don't record; 2) they know there is no way it is going to happen the way they said; 3) they have no respect for the time the customer is in limbo; and 4) they appear to have no options for ""customer recovery/retention"" (e.g., a coupon for a discount on HP printer cartridges as one way to say ""so sorry""). I'd suggest training in truth-telling and an investment in better product development.  I will be purchasing a new laptop that is not from HP. I hope to use my HP Notebook as a back up but it and the support systems are not reliable enough to depend on for day-to-day use. I'd recommend HP take a look at Canon's superior customer service.","review","english","HP","Nancy Rhodes","2","2018-10-10T13:34:19.000+00:00","Extremely poor customer service and subpar products","1"
"dict","I just have no words about HP Products and customer service. My laptop is noisy a $1,700 laptop. My 2 years 'All in one', is very noisy as well so it is been in and out repairing but they can't repair it. The noise from inside is like an old TV  engine. Last review has taken 3 weeks in repair. I had to call them everyday as they will not inform you and when you call them they are completely lost, they have no way to contact the repairing section so you finish the call with no information at all. I am certainly not buying ever again an HP product.","review","english","HP","Amalon","2","2018-10-05T09:34:54.000+00:00","I just have no words about HP…","1"
"dict","I received horrid support for my printer while it was still in warranty.","review","english","HP","Shane White","1","2018-10-05T10:22:32.000+00:00","I received horrid support for my…","1"
"dict","Someone please close this business.  The printers used to be very reliable and cost effective.  Now they seem to be the worst in the business in my opinion.  The MFP models I have used for the last 5 years have constantly failed to synch and stay synched with my computer and are difficult to set up when they go out of synch.  They have the least reliability and the MFP 426 I have has convinced me to go to another manufacturer and leave after 20 years of buying HP small office printers.  My experience has been less and less reliability and cost effectiveness.  I have never been able to speak to HP about the problems everything is talk to their website the company used to have tech support and help.  Now it is go to the website and download drivers which fail.  After so many years of buying the products loyally I hate to leave but I need something reliable which synchs wirelessly. I will never trust this business ever again if they give away printers.","review","english","HP","Nick Thompson","3","2018-10-02T14:00:13.000+00:00","Someone please close this business","1"
