comment,language,product,reviewer,reviewer_review_count,time,title,vote
"Bought the new ASUS widescreen monitor for over £1000.  Within a month a bug crawled in between the backlight and the screen - and died.   The monitor is ruined. There is a big black splodge in the middle of the screen forever.   I completed an ASUS warranty return form onlilne, after which they provided me with a return number,  they informed me to package up the monitor for collection the next day.    The next morning I had an email sent at 0730 hrs informing me the return had been rejected and I was to take pictures of the fault.  I had already packaged the monitor.  I had already arranged for someone to be in all day.   What an utter waste of time that was.   For me- if a bug can climb inside a £1000 monitor, that indicates that it isn't constructed very well, and it isn't really fit for purpose.        After another week I finally received an email stating they were waiting for stock?   two further weeks past and nothing.  I was sent a series obstructive messages giving me a week number (not a calendar date) when they expected stock to be available.   Update:  after being fobbed off repeatedly.  I had no other alternative but to give them 14 days to provide a replacement before I commenced a small claim in the Court.  Amazingly, the next day the replacement monitor arrived.  Its taken them a month to do this.      To add further insult to injury the replacement is a reconditioned / repaired monitor,  I've paid £1000 for a secondhand monitor.  After this experience I will NEVER purchase another ASUS product.       Last but by no means least.....   ASUS use a company called LetMeRepair for the warranty exchanges.  I've never seen a company with lower customer satisfaction feedback.   Read a few of the reviews - you'll see what I mean.",english,asus,Andrew Collis,2,2018-09-28T14:32:42.000+00:00,Bought an ASUS monitor for over £1000 -  ruined by a bug crawling inside it.  Worst customer service experience ever!!.,1
"Bought a Laptop from them, Space-bar key starts acting up and the hinge around the screen has a massive gap in it, send it back for RMA. RMA fixed the keyboard but ignored the hinge. Sent it back for the Hinge, Hinge fixed  screen starts to flicker. Called up ASUS Customer support, says I need to send it back for another RMA, does so. Screen fixed Enter key is broken - either they didn't fix it initially or they broke it, file for another RMA, RMA had some issues, so I called up ASUS, but they collected anyways. Checked online, turns out I could've asked for a refund as they already have tried 2 times to fix my laptop, but its too late because it took them a month to reach this point and my 6-month period is over.  Never buying another ASUS product again.",english,asus,Shan,1,2018-09-25T10:39:44.000+00:00,Worst customer service,1
"My God, where do I start with this utterly abysmal company? In a nutshell here's a breakdown: 1. Asus Laptop Hybrid died on me. I work in tech, tried to fix but nothing would work.  2. Contacted Asus &amp; 3rd party repair company collected. My computer was in brand new condition. 3. Two weeks later it arrives back to me complete with damage to the outer shell, the track pad &amp; lots of dirt &amp; scratches. 4. Still wouldn't work properly so contacted Asus to complain. 5. Long story short, a year went by for me fighting this damn company tooth &amp; claw for damages &amp; demanding a new replacement but they always made excuses not to compensate me due their 3rd party repairs damage to my computer being MY fault &amp; they refuse to take responsibility. 6. I get involved Trading Standards, Ombudsman &amp; other legal bodies, even my MP (who you'll know from the telly), &amp; ALL take my side &amp; say Asus is breaching its terms &amp; should either compensate or replace. Yet none of them could help as it would involve a long legal battle for me.  I went sadly to my local Currys store to try get a new computer &amp; was asked by manager there what was wrong. I told him. He said where did I buy it from? I said his store. He got his area manager to hear the story. They went away &amp; came back 10 mins later &amp; said even though the returns receipt to them was 9months out, they wanted to be 'the good guys for a change' so proceeded to take the Asus off me &amp; said 'go get a new one to the same value with our compliments!!  WHAT A STAR COMPANY CURRYS IS  🤩 Total respect for them now.  As for Asus (or should that be ANUS 😂), I HAVE TOLD EVERYONE WHO'LL LISTEN ON SOCIAL MEDIA &amp; PERSONAL FRIENDS &amp; THOSE I SEE WANTING TO BUY A COMPUTER I SEE IN A STORE, TO STAY AWAY FROM THIS DREADFUL, ABYSMAL, CONNING, CONNIVING, CRAFTY, DAMN RIGHT CRIMINAL COMPANY.  I will NEVER buy from, nor recommend Asus to anyone. Check out all the other reviews, ALL ONE STAR. NOW WHAT DOES THAT TELL YOU ABOUT THEM?",english,asus,M. Hague,2,2018-10-16T14:45:24.000+00:00,If you Want A Great PC & Fab Customer & Repairs Service..... Don't Buy Asus Products!,1
Terrible computer. Paid nearly £1000 for top of the range all in one Asus Zen computer. It is the worst computer i have ever owned. Very slow at booting up and the more programs/apps you put on the slower it gets. Sent it back but it was returned to me saying they couldn't replicate the fault. I will never buy another Asus product again.,english,asus,Derek Newton,2,2018-09-20T14:38:36.000+00:00,Terrible computer,1
For 2nd time in 3 years touch pad not working.,english,asus,Irene Russell Cameron,5,2018-09-18T17:02:40.000+00:00,For 2nd time in 3 years touch pad not…,1
"G752VY which i spent around 1.2 grand on has just given up in a number of ways, the screen and then constant stuttering and my laptop goes crazy after a period of use and my fans blow out at 100%. I did my first RMA and it got given back with the majority of the issues still there, a  new screen was given but after a week of use a god damn pixel line appeared on it suggesting poor workmanship and issues still persist. The new screen looked far worse compared to my original also. I don't trust my laptop to last or for my laptop to come back in working condition from this second RMA. It is disgusting how poor this laptop lasted and will be looking to take this to small claim courts if needed as i do not want to be left with this laptop. Furthermore, i gave my laptop to my first RMA in immaculate condition, dusty and somewhat dirty but immaculate. I noticed when giving my laptop to DPD for the second RMA that there was scratches all over the laptop bodywork. I am appalled at this service and i ask that you all do not purchase an Asus ROG or any asus products at all if you want something to last without faults. I used to love Asus products but this has made me deter everyone i know from them.  I even found another review on Asus with 1 star with someone with a G752VY also who clearly had the same issues after just 8 months of use. If i used my laptop thoroughly straight away my laptop likely would of died within the year too. This is not an isolated issue.  I sent a complaint to Asus already and if Asus see this review and wishes to contact me please feel free to. Otherwise i will take action in a legal way shortly.  The code for my first RMA: GBB4J80320",english,asus,Just a guy,4,2018-09-17T07:05:09.000+00:00,G752Y which i spent around 1.2 grand on…,1
Laptop was obsolete within a year due to poor design according to an expert I consulted. Have contacted ASUS several times but they don’t even respond.,english,asus,Louise Howard,5,2018-09-10T17:00:18.000+00:00,please don’t buy from them,1
"Very poor support service and RMA process for their products.  NEVER WASTE your precious money paying a lot of expensive , poor value for money JUNK from them as thats what it will be in a year ! even though the warranty is for 3 years and they will make you go through hell to get support. And apologies for inconvenience as though they mean it.  STAY AWAY FROM ASUS, there are much better companies like Cisco, Netgear etc.",english,asus,Jay Ramakrishnan,3,2018-09-08T20:07:08.000+00:00,Very poor support service and RMA…,2
Great quality laptops at a great price from a great company. Would happily recommend to anybody wanting a laptop that can play games and operate speedily (the X555LAB model is particularly good).,english,asus,Thomas Dowding,1,2018-09-08T22:31:23.000+00:00,Great quality laptops at a great price…,5
"I made the error of purchasing a T303UA laptop from these cowboys. The machine was good, the build quality was good. All was well until I accidentally cracked the class cover on the lcd. Then I had to try to get it repaired. Trying to get it returned was hard enough, Delays in picking the unit up added a week to the repair time but it eventually went on the 12th of June 2017. A hefty but not unexpected quotation arrived for a new screen and I authorised and paid for the repair the very same day. Now I am waiting for ASUS to deliver a new screen from some far flung part of the world as the 'ETA is the 8/8/2018' after which they will repair and return my unit. They will have had my money for 2 months or more (and the laptop) before I see the machine again. PLEASE DO NOT BUY FROM ASUS UNLESS YOU CAN AFFORD TO THROW THE ITEM AWAY",english,asus,K. Brown,5,2018-08-08T08:06:22.000+00:00,Probably the worst customer support you can buy,1
Asus Zenfone 5z is very bad phone don't buy.. I make mistake plz don't buy xiomi is bst now in days..,english,asus,Farhan,1,2018-12-01T16:45:46.000+00:00,Asus Zenfone 5z is very bad phone don't…,1
"I own a Zenfone  3Max phone:  The phone is buggy, with many small but annoying problems occurring frequently.  Reliability is dismal - the fingerprint sensor, a critical element of the phone,  worked intermittently and stopped working completely after 14 months of use. The cost of troubleshooting ($60) and repair ($110) of the out of warranty device exceeds the price of a brand-new  Zenfone  (not that I would consider touching their junk again). Decided to get rid of it and found out instructions on backing up the device are nowhere to be found. Awful documentation, both the printed and online instructions appear totally unrelated to the device allegedly written for. An inexpensive phone that is truly worthless!",english,asus,Isaac Cohen,6,2018-11-30T16:38:38.000+00:00,"Inexpensive, but absolute junk!",1
"Just bought a tablet from amazon asus tablet, 1 month later tablet won't charge, sent in for repair and asus comes back and will not cover warranty, they said it was my fault.  pin connectors where you plug in charger were all damaged. they want to charge me $76  dollars.  I would not recommend  this company they do not uphold their Warranty policy.",english,asus,les williams,1,2018-11-30T16:40:41.000+00:00,Just bought a tablet from amazon asus…,1
I guess I should have just come here to read these reviews. ASUS has the worst customer service I've ever experienced. Just a bunch of computer nerds stuck in a basement with absolutely no people skills and not the slightest idea of customer satisfaction.,english,asus,Luis Leal,4,2018-11-30T22:41:32.000+00:00,Just repeating what seams to be the consensus.,1
"The most worst  experience I had with Asus is that they don't provide proper after sale service to the customers. I had submitted my handset 10 days earlier but still they are saying that it will take time till 30th Nov 2018 or may extend to 11th Dec 2018, and giving all lame excuses. My suggestion is if you can't provide proper service then stop assuring for I guess you people know what is the necessity of mobile these days.",english,asus,Subasish Dam,1,2018-11-30T16:00:38.000+00:00,The most worst  experience I had with…,1
"ROG STRIX GL553VD - Manufacturing Defect - ASUS decides to call it CID with no explanation  Got the ROG in july 2017. Got it from AUS online store. Didn't check the device before i landed back in India. Surprisingly they shipped a device with an unpasted trackpad. The thing literally was handing out of place only by the flat cable.  Contact customer support immediately and was told they would send the executive. Surprisingly upon giving them my address, they told me they will charge for visiting and further upon asking the policy of manufacturing defect and quality control, they abandoned the ticket - did not reply back. Since I was able to use the think, I let it go.  After a year, I logged another complaint about servicing and other issues (fading of the screen visible when black), I agreed to pay visiting charge. I also included the original issue of the manufacturing defect of the unpasted trackpad.  They sent a bloody amateur service executive to inspect a ROG. The dude, flipped the laptop to see the S.No. just after loading a disk in the ODD and continued as it spun and scratched with the internals. The guy at first, did not see the issue of the trackpad - clearly showing, he had no experience of a ROG - and asked me what was wrong. I showed him the issue.  He continued to blow my mind by saying ""Sir, Gaming Laptops have faded screens"" when it came to the screen issue. And did not even perform a single system H/W or S/W test to see any other issue with the system. Took the visiting/on-site service charges and reported half of the issue that i told him about, i had to get the remaining items manually added.  ASUS being ASUS, declared the touchpad issue as CID, because they wanted to make money on top and not accept they messed it up since the beginning. I asked why and on what ground are you declaring this as CID, and as usual, ASUS being ASUS, did not say anything and closed the case without even providing me services apart from what they called CID.  So much for Quality Product and Service.  Better get a premium Dell. They at least have better policies and executives in my experience of using XPS for over 5 years.",english,asus,Shantanu Rana,1,2018-11-30T20:37:58.000+00:00,ROG STRIX GL553VD - Manufacturing Defect - ASUS decides to call it CID with no explanation,1
"Been using Asus hardware for years, had some minor issues with them from time to time but overall been pleased with the quality and support provided.  Seems like mostly users with some problems are reviewing Asus here. That's a bummer as they deserve a much better rank I think. Asus should think about sending more happy customers to review them on-line.  Overall I give Asus a 4 star mark.",english,asus,vapiniak,2,2018-11-27T08:36:33.000+00:00,Been using Asus hardware for years,4
"I bought ASUS ROG STRIX 1080ti for almost 1 000 euro. After 14 months it stopped working - all PC went dark and fans on GPU started to work @ 100% without a reason. After this happened, by accident I touched the fan while it was spinning @ 100% and two blades from the fan got broken. Well, not a problem I thought, cause the problem with the card happened before, the fan got broken, so when I will send it for warranty repair, they will run the test and see, that the broken fan is not causing the problem with the card. ASUS is not some kind of scum company, that will decline your warranty for any reason, right? Wrong! ASUS RMA engineer opened the box, saw two broken blades on one fan, took pictures, closed the box and sent it back. He even pointed with arrows to broken blades, like if I was blind and did not see this. They did not even ran any test with the card. I contacted support and they are just trying to reffer me to anyone else, except ASUS. I am really tired of this ******, cause support only answer VIA email 1 - 2 times a day, so I would just pay for the repair and forget about ASUS for ever. But there is no repair centre in my country! There is only one actually, but they are not authorised to work with GPU. So when I ask support how can I get my card serviced for paid repair they reffer me to seller. And ofcourse seller can't do any repairs, cause how could they, if even ASUS authorised service can't do repairs to GPU. So i have a perfectly looking 1080ti card, without any bents or scratches, or anything else, and I can't do anything with it. I can only sell it over the internet to some poor guy, who will then curse me and ASUS. But I can't do that, cause instead of ASUS I have a soul and I care about other people. Also a few works about email support - I asked them how can two broken blades of one fan cause the whole unit to fail, especially when the blades broken AFTER the GPU stopped working correctly. Support advised me to do ""independent examination of this equipment and provide its results to us"". Ok and if I do that, what then? You will finally run test on GPU too? No! The answer was - ""If examination will be in your favor, you should write a claim to the Store"". So I spend time and money to make examination of GPU, send results to ASUS and then ASUS gives me the green light to write a claim to seller? Amazing advise, you must have trained him for at least 6 months to provide such support.",english,asus,Eduard,1,2018-11-30T20:58:57.000+00:00,I bought ASUS ROG STRIX 1080ti for…,1
"Got a Asus router for home network. It stopped working after 3 weeks. Mailed Asus my router for repair. Asus lost my router and are refusing to refund me the cost price.   Never dealing with this company anymore. Completely lag of customer understanding, customer service and have no interest in providing a fully functional product for the customer.  Its been a month since the router stopped working. Still no access to home internet because of this.",english,asus,Rene,8,2018-11-26T11:09:49.000+00:00,Got a Asus router for home network,1
"TERRIBLE CUSTOMER SERVICE FROM ASUS!!!!  People, please don`t buy anything from ASUS.  Bought  Asus laptop in a 2 month usb c adapter(mini-dock) stop working.  Didn`t call them right away, called them later. They told me that to replace this f***ng adapter I need to send them laptop also, THIS IS COMPANY POLICY. I am a student I can`t stay without my laptop a month or so. They just taking advantage on you, trying to sell this small piece of plastic for 70$",english,asus,tmdava,1,2018-11-30T20:07:00.000+00:00,TERRIBLE CUSTOMER SERVICE FROM ASUS!!!!,1
"Asus use to be a stellar product but now the quality was sacrificed for profits and bad support. I design mobility solutions(Tablets/Laptops)for a Living for a fortune 500 company. I can tell you that you will be better off going with HP or MAC. Don't waste your money ASUS, the quality is no longer there, Just a good name from the past.   I purchased a 1150.00 ultra book that lasted exactly as long as the warranty. Asus was no help and wanted 540.00 to fix a faulty power button 13 months after purchase. Both UGS IT staff and Best Buy said it was a hardware failure.",english,asus,Keith S Fox,1,2018-11-26T06:19:03.000+00:00,Asus used to be a stellar product but not anymore,1
Customer support makes me cry!,english,asus,Ruslan,7,2018-11-21T14:05:22.000+00:00,Customer support make me cry!,1
"Terrible service from ASUS! All department from hotline to service center is not link, kick u like a ball as each have different rules. U go service center they can tell u a different thing from hotline. They don’t care about service to customer ! Their service guys are not train to rectify issue. They cannot find the problem and dare not do factory reset!  Expect my laptop to be there for a week and return with nothing done!",english,asus,Linda,1,2018-11-20T14:49:51.000+00:00,Terrible service from ASUS!,1
Year and a half old expensive computer and hard drive crashes! Will absolutely never recommend their product or service!,english,asus,Christine Dietz,1,2018-11-20T15:39:15.000+00:00,ASUS disappoints!,1
"GPU died after 6 months of use after buying second hand, the guy I bought it off wouldn't respond about warranty questions so I tried emailing ASUS. They offered to take it in and fix it for a £15 ""logistics fee"", which I was a little annoyed about, but it was either that or a dead £300 GPU.  Eventually in the post I got a parcel. I opened it and it was a different brand of GPU, and upon closer inspection, as the 980Ti was no longer in production, they sent a 1070Ti instead. I bought this GPU for £270, maybe spent £25 on postage, and now own a £450 GPU. While they were slow, they really won me over and I would fully recommend them to anyone building a PC.",english,asus,Peter,5,2018-11-20T17:59:55.000+00:00,Really impressed with warranty,5
"Extremely poor customer service and inadequate repair  I have been having trouble with my laptop now for over 1 month.   About one month ago my laptop just turned off for no reason and wouldn't turn back on.   After calling the technical support they were unable to help me because my laptop was not under warranty. This was extremely frustrating because I had purchased the extended warranty when I purchased my Vivobook laptop. It took several phone calls to explain that I did have extended warranty and needed the laptop repaired desperately. Having purchased the laptop directly from the ASUS online shop it blew my mind that their technical support workers couldn't access the records and see that I had in fact purchased the extended warranty.   After three phone calls the technical support finally recommended I email the ASUS online store asking for my proof of purchase records. Once I was able to show my laptop had an extended warranty they finally started repairing the laptop in the service centre (this took about 4-5 days in which the laptop was just sitting in the repair centre).   I received the laptop from the repair centre about 4 days after it began repair to find the laptop still isn't working properly. The laptop only works when it is on charge. The laptop will charge for the first 30s and then stops and sits on 1%.   This is extremely frustrating having received the laptop back from the ASUS service centre for it to be not properly working. The laptop is only 17 months old and I spent $1000 on it. Definitely not what you would expect for the amount of money you have to pay.   Overall, the technical support team were extremely frustrating and not helpful. The team at the service centre were helpful, however the laptop still isn't working like it should. Definitely wouldn't purchase an ASUS laptop again.",english,asus,Zarni,1,2018-11-18T13:56:44.000+00:00,Extremely poor customer service and…,2
I have had multiple Asus products and they have all had some kind of defect. There is no help or service.,english,asus,Martin,1,2018-11-18T14:04:46.000+00:00,I have had multiple Asus products and…,1
"I have a motherboard from them, havent had any problems for a few years which is decent but suddenly have a error common with these motherboards, so i go to the customer support asking for help, they take about 5 minutes to reply very long, rude with there orders, sending me links to help me which dont even work, poor English most of the time and very confusing details.Telling me one thing then saying dont do that after i do it, didnt work much at all just told me to do something i already new, didnt solve the problem. Now im stook with a broken motherboard and ASUS wont help me :) Try not to buy a motherboard from this company.",english,asus,Harvey Peacock,2,2018-11-16T23:33:27.000+00:00,Product and customer service,1
"Bought a new zenbook for my studies, and actually it was a good choice whereas my brothers notebook from HP is having issues after a few week of use. Glad to have bought an asus product instead.",english,asus,Tanner,3,2018-11-30T19:53:40.000+00:00,Bought a new zenbook for my studies,4
"I bought a gaming laptop and i am having issues since then. The keyboard every now and then stops working and i have to do some maintenance in order to get it work again. The cpu go all the way up to 90% every time i open an application, even if it is notepad. I tried to recover to factory maybe this will fix the problem and now i am facing an additional issue which is whenever i right click the desktop it takes over a minute to respond. I am done with asus. I am going to switch to ibuypower.",english,asus,Bashir Sarkis,4,2018-11-15T21:35:59.000+00:00,Worst product and customer service.,1
"So I have an ASUS laptop, it's about five years old but everything I throw at it, including games, it eats alive. New this laptop in the UK was circa £3000, it's a gaming laptop so it wasn't cheap. You can still buy it on ebay today for about £600.   Suddenly it stopped working and I realised it was a proprietary cable that connects the motherboard to the SATA board that was broken. This cable is worth about £15 including postage but ASUS does not make it anymore even though the very expensive laptop isn't that old. So for the sake of a part worth £15 this expensive laptop is now completely useless to me.  I spoke to ASUS and they were just ignorant and rude throughout. They're attitude was we don't care. They actually told me to see if I could buy this proprietary part on Amazon. Clowns. I asked if I could get it specially made and I'd happily pay extra for that but no, they don't want to help at all. Their attitude stinks.  Absolutely terrible customer service. It's a company that takes your money and lets you rot. I won't be buying another ASUS product again. Awful company.",english,asus,Folkvar,2,2018-07-29T04:01:35.000+00:00,ASUS Does Not Support Its Products,1
"I have had a zenpad for years. A good, if underwhelming product. On the basis of this I thought I might buy their new mid price zenphone. However, the online store will only allow bme to buy through PayPal. So much for customer choice. I have been in touch with their online chat service, and apparently it's not ""fixable"" it might have been nice if at least I could rate the product rather than the lack of customer service.",english,asus,Phil Lambert,9,2018-07-05T13:31:10.000+00:00,I have had a zenpad for years,1
"I’ve been an Asus customer for over 10 years, I love their products quality, functionality and design. However, I was let down by the latest machine and their customer service.  Heat The machine processor heats up to uncomfortable levels, reaching 70C degrees when running basic operation ie. Chrome Browser and Outlook email.  Screen The screen packed up 6 months after purchase. No warning, just will not light up and had to connect an external screen to be able to access the machine.  Customer service The lack of customer service is beyond recognition. Failure on multiple levels;  Professionalism: No one owns the problem, it get past to each other and have to start explaining the issues from the beginning. At one of my calls to them they started addressing me as “mate”, as we were sitting in a pub after few drinks.  Transparency: They refused to explain the normal operating temperature of the machine. It took 5 emails to get an answer  Curtesy: Considering they are working with professional companies and customers, it is logical to assume that customers will have sensitive data and rely on their machine to be the main unit. However, they refused to provide a loan machine whilst my machine is with them for repairs. Worst they refused to provide clarity for when the machine will be repaired and sent back, no even an expected repair period. In the 21st century, all mighty Asus cannot figure out when a part can be delivered and fitted to their machine, or they know and they don’t want to tell you. Not sure which one is worst.  This is why I believe Asus don’t care, their warranty guarantee is just to show that have a similar service to other companies.  This is why I advise against Asus, specifically the ZenBook Deluxe 3",english,asus,Hadidmax,1,2018-06-26T16:20:34.000+00:00,"Terrible machine and worst, shockingly poor customer service",1
2 high-end Graphic cards died in less 1 year. Motherboard died after month. Useless company and support,english,asus,marmun0302 1,1,2018-06-26T16:24:49.000+00:00,Useless company and support,1
I used the Asus Laptop model X540LA.this is very best product for office use and any other perpopse.for more info my site besthelpworld.com,english,asus,kuldeep singh,1,2018-06-26T10:10:52.000+00:00,I used the Asus Laptop model…,4
"Not even one star! 1200GBP laptop and the screen went out within 4-5 months. I've requested an RMA and it took them more than 1 month to repair it. When I received the laptop all the screws at the bottom were damaged and the bottom cover was scratched by the screwdriver. They are not even able to assemble\disassemble a laptop!  Unfortunately, they claim that they do not have responsibility for this when I reported back. ASUS support does not even support their customers that pay a fortune to get their products!",english,asus,Michalis,1,2018-06-24T04:07:29.000+00:00,Not even one star!,1
"If I could give them no stars I would. This is by far THE WORST company I have ever had the displeasure of dealing with. The pixels went on my Notebook screen about 8 months after the initial purchase. I contacted the customer services team straight away (the number of which was not easy to find) they said my laptop was under warranty and I could get it sent off to be repaired and returned for FREE. Roughly two weeks later I received an email quoting 'customer induced damage' and claiming that I would have to pay nearly £340 to have my laptop repaired and returned. I was absolutely appauled. When I contacted the customer service team they told me I'd have to discuss it with the repair centre. Upon phoning the repair centre I was told that they can only go on past experience of what they think causes specific damage and that I must've forced the lid shut with an object in my laptop (I'm not an idiot!). They claimed that as there was a 'crack' in the screen I must've caused this damage. I was shocked, there was no crack in the screen when I sent it. According to the repair centre a crack in the screen referred to the pixels being broken and if it was a glass screen then there would be a physical crack. I.e. there's no 'crack'. They told me to phone Asus Customer Services as only they would be able to help reduce the cost or repair the notebook for free as they would provide the parts. I was actually told by the repair centre that they've had a few cases where this has happened and Asus have paid out?! Asus Customer services is awful- they are not based in the UK , cannot provide phone numbers for anyone higher up and their grammar/ level of communication is atrocious. When a higher category of customer services were reviewing my case, I could not be informed who they were, I wasn't able to have a telephone number and when I was told I would be contacted, unsurprisingly, no one ever contacted me. Asus have now had my NoteBook since FEBRUARY 2018. I have contacted them over 30 times and they refuse to provide numbers of anyone higher up, respond to emails quickly or efficiently and treat their customers like dirt. I have been very upset as I use this laptop for work. I have recently been made redundant and rely on laptops for job hunting. However good their NoteBooks may seem, it is definitely never worth the grief and upset. I even contacted Citizens Advice to discuss this issue.",english,asus,Francesca Didymus,1,2018-06-21T10:08:18.000+00:00,Avoid this company,1
"Trash  ,I have a PC running XP that is faster and more reliable than an ASUS laptop running 10  ,this product is useless It has been useless for the last 2 years, I have suffered it , I hate It and have come very close to smashing it ..   Needless to say I have posted this Review on my 10 year old pc .",english,asus,Colin,9,2018-06-11T11:09:29.000+00:00,"Trash  ,I have a PC running XP that is…",1
"Every time I complete an ASUS support form be it from a support article or product page, it gives a ""Server Busy"" error. Frustrating bordering on ready to explode!",english,asus,Dan Logan,2,2018-06-11T11:14:20.000+00:00,Abysmal Support Process,1
"Always build my own PC,s, using Asus motherboards. Motherboards are well built and solid when completing the build. Easy access to the Bios , makes it easy to adjust settings Always go for the Mid Range board supporting the latest CPU, as the board retains 40% of its value ,and after 3 years you can sell on ebay and upgrade to a new MB at a lower cost.",english,asus,Phil,9,2018-05-26T02:52:50.000+00:00,Solid motherboards,5
"Purchased a ASUS notebook ( 1st mistake ) required for general browsing and some light work stuff, it came with windows 10 ( second mistake ) the storage was only 30 gigs of which the system required 16 gigs. To run the crap apps that you can’t delete take 6 gigs = 22gigs. The windows updates take over 8gigs = just to run the operating system takes 30 gigs .... ASUS note pads are crap, slow, useless and not built to even operate the system it comes with, stay clear from ASUS they should rebrand and call it “we’ve not got a clue” or “wing it” support is none existent. Never again will I buy from these backstreet market dealers",english,asus,Smithy,1,2018-05-26T02:53:22.000+00:00,STAY AWAY FROM ASUS,1
"Bought a ROG laptop and was working fine until after a month when it started lagging, no idea why",english,asus,Greg Mal,1,2018-05-21T18:01:00.000+00:00,Bought a ROG laptop and was working…,3
